Category,Metric,Value,Calculation_or_Source,Note
Speedup,GPT2_RTX4070,1.34x,23.21/17.37,INT8 faster
Speedup,GPT2_RTX4080,0.55x,1.10/2.01,INT8 SLOWER — small model overhead on powerful GPU
Speedup,LLaMA2_RTX4070,66.79x,1244.29/18.63,Extreme — FP16 triggered CPU offloading
Speedup,LLaMA2_RTX4080,1.88x,50.04/26.64,Normal GPU inference both
Speedup,Qwen_RTX4070,1.07x,12.66/11.78,Minimal difference
Speedup,Qwen_RTX4080,1.23x,13.61/11.08,Modest speedup
Speedup,Average_excluding_CPU_offload,1.19x,Mean of 1.34+0.55+1.88+1.07+1.23 divided by 5,Journal states avg 3.4x across all including offload case
Quality,LLaMA2_RTX4070_BLEU_INT8,0.1620,Table 6,Single prompt
Quality,LLaMA2_RTX4070_ROUGE1_INT8,0.5140,Table 6,Single prompt
Quality,LLaMA2_RTX4070_ROUGEL_INT8,0.3464,Table 6,Single prompt
Quality,Qwen_RTX4070_BLEU_INT8,0.1327,Table 6,Single prompt
Quality,Qwen_RTX4070_ROUGE1_INT8,0.4896,Table 6,Single prompt
Quality,Qwen_RTX4070_ROUGEL_INT8,0.3021,Table 6,Single prompt
Code_Syntax,LLaMA2_INT8_valid,93%,Section 4.7,Out of 15 code prompts
Code_Syntax,Qwen_INT8_valid,87%,Section 4.7,Out of 15 code prompts
Code_Syntax,LLaMA2_FP16_valid,100%,Section 4.7,Baseline
Code_Syntax,Qwen_FP16_valid,100%,Section 4.7,Baseline
Conclusion,INT8_avg_speedup_paper_claim,3.4x,Journal abstract,Excluding CPU-offload configurations
Conclusion,Best_deployment_model,Qwen1.5-1.8B-Chat INT8,Author recommendation,Low VRAM + competitive quality
