Model,GPU,Precision,Task_Type,BLEU_Mean,BLEU_Std,ROUGE1_Mean,ROUGE1_Std,ROUGEL_Mean,ROUGEL_Std,N_Prompts
GPT-2,RTX4070,FP16,Text Generation,0.24,0.08,0.68,0.12,0.61,0.10,50
GPT-2,RTX4070,INT8,Text Generation,0.22,0.09,0.65,0.13,0.58,0.11,50
GPT-2,RTX4080,FP16,Text Generation,0.24,0.08,0.68,0.12,0.61,0.10,50
GPT-2,RTX4080,INT8,Text Generation,0.21,0.09,0.64,0.13,0.57,0.11,50
LLaMA-2-7B-Chat,RTX4070,FP16,Text Generation,0.32,0.07,0.72,0.10,0.68,0.09,50
LLaMA-2-7B-Chat,RTX4070,INT8,Text Generation,0.16,0.08,0.51,0.12,0.35,0.11,50
LLaMA-2-7B-Chat,RTX4080,FP16,Text Generation,0.32,0.07,0.72,0.10,0.68,0.09,50
LLaMA-2-7B-Chat,RTX4080,INT8,Text Generation,0.15,0.08,0.42,0.13,0.32,0.12,50
Qwen1.5-1.8B-Chat,RTX4070,FP16,Text Generation,0.28,0.08,0.69,0.11,0.63,0.10,50
Qwen1.5-1.8B-Chat,RTX4070,INT8,Text Generation,0.13,0.07,0.49,0.12,0.30,0.11,50
Qwen1.5-1.8B-Chat,RTX4080,FP16,Text Generation,0.28,0.08,0.69,0.11,0.63,0.10,50
Qwen1.5-1.8B-Chat,RTX4080,INT8,Text Generation,0.12,0.08,0.37,0.13,0.25,0.12,50
