Data_Category,Model,GPU,Precision,Task_Type,Metric_Name,Value,Value_Std,Unit,Source_Table,Notes
TIMING,GPT-2,RTX4070,FP16,Text Generation,Inference Time,12.45,0.0,seconds,Table 3,Standard inference
TIMING,GPT-2,RTX4070,INT8,Text Generation,Inference Time,8.12,0.0,seconds,Table 3,8-bit quantized
TIMING,GPT-2,RTX4070,FP16,Text Generation,Throughput,45.32,0.0,tokens/s,Table 3,Standard inference
TIMING,GPT-2,RTX4070,INT8,Text Generation,Throughput,68.94,0.0,tokens/s,Table 3,8-bit quantized
TIMING,GPT-2,RTX4080,FP16,Text Generation,Inference Time,9.87,0.0,seconds,Table 3,Standard inference
TIMING,GPT-2,RTX4080,INT8,Text Generation,Inference Time,5.43,0.0,seconds,Table 3,8-bit quantized
TIMING,GPT-2,RTX4080,FP16,Text Generation,Throughput,57.15,0.0,tokens/s,Table 3,Standard inference
TIMING,GPT-2,RTX4080,INT8,Text Generation,Throughput,103.87,0.0,tokens/s,Table 3,8-bit quantized
TIMING,LLaMA-2-7B-Chat,RTX4070,FP16,Text Generation,Inference Time,1247.32,0.0,seconds,Table 3,CPU offloading due to memory constraints
TIMING,LLaMA-2-7B-Chat,RTX4070,INT8,Text Generation,Inference Time,18.63,0.0,seconds,Table 3,Full GPU residency
TIMING,LLaMA-2-7B-Chat,RTX4070,FP16,Text Generation,Throughput,0.92,0.0,tokens/s,Table 3,CPU offloading due to memory constraints
TIMING,LLaMA-2-7B-Chat,RTX4070,INT8,Text Generation,Throughput,61.45,0.0,tokens/s,Table 3,Full GPU residency
TIMING,LLaMA-2-7B-Chat,RTX4080,FP16,Text Generation,Inference Time,50.23,0.0,seconds,Table 3,GPU inference
TIMING,LLaMA-2-7B-Chat,RTX4080,INT8,Text Generation,Inference Time,15.14,0.0,seconds,Table 3,Full GPU residency
TIMING,LLaMA-2-7B-Chat,RTX4080,FP16,Text Generation,Throughput,27.89,0.0,tokens/s,Table 3,GPU inference
TIMING,LLaMA-2-7B-Chat,RTX4080,INT8,Text Generation,Throughput,89.76,0.0,tokens/s,Table 3,Full GPU residency
TIMING,Qwen1.5-1.8B-Chat,RTX4070,FP16,Text Generation,Inference Time,32.14,0.0,seconds,Table 3,Standard inference
TIMING,Qwen1.5-1.8B-Chat,RTX4070,INT8,Text Generation,Inference Time,21.43,0.0,seconds,Table 3,8-bit quantized
TIMING,Qwen1.5-1.8B-Chat,RTX4070,FP16,Text Generation,Throughput,19.73,0.0,tokens/s,Table 3,Standard inference
TIMING,Qwen1.5-1.8B-Chat,RTX4070,INT8,Text Generation,Throughput,29.64,0.0,tokens/s,Table 3,8-bit quantized
TIMING,Qwen1.5-1.8B-Chat,RTX4080,FP16,Text Generation,Inference Time,24.98,0.0,seconds,Table 3,Standard inference
TIMING,Qwen1.5-1.8B-Chat,RTX4080,INT8,Text Generation,Inference Time,13.76,0.0,seconds,Table 3,8-bit quantized
TIMING,Qwen1.5-1.8B-Chat,RTX4080,FP16,Text Generation,Throughput,25.47,0.0,tokens/s,Table 3,Standard inference
TIMING,Qwen1.5-1.8B-Chat,RTX4080,INT8,Text Generation,Throughput,46.12,0.0,tokens/s,Table 3,8-bit quantized
TEXT_METRICS,GPT-2,RTX4070,FP16,Text Generation,BLEU,0.24,0.08,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4070,INT8,Text Generation,BLEU,0.22,0.09,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4070,FP16,Text Generation,ROUGE-1,0.68,0.12,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4070,INT8,Text Generation,ROUGE-1,0.65,0.13,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4070,FP16,Text Generation,ROUGE-L,0.61,0.10,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4070,INT8,Text Generation,ROUGE-L,0.58,0.11,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4080,FP16,Text Generation,BLEU,0.24,0.08,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4080,INT8,Text Generation,BLEU,0.21,0.09,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4080,FP16,Text Generation,ROUGE-1,0.68,0.12,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4080,INT8,Text Generation,ROUGE-1,0.64,0.13,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4080,FP16,Text Generation,ROUGE-L,0.61,0.10,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,GPT-2,RTX4080,INT8,Text Generation,ROUGE-L,0.57,0.11,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4070,FP16,Text Generation,BLEU,0.32,0.07,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4070,INT8,Text Generation,BLEU,0.16,0.08,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4070,FP16,Text Generation,ROUGE-1,0.72,0.10,score,Table 9,Aggregate across 50 prompts
